variant,layer,layers,tokens,dim,pca_var_0,pca_var_1,trajectory_signed_circulation,trajectory_abs_circulation,trajectory_signed_circulation_ratio,trajectory_signed_circulation_alignment,spectral_total,spectral_grad_ratio,spectral_curl_ratio,spectral_harmonic_ratio,spectral_grad,spectral_curl,spectral_harmonic,spectral_signed_curl_circulation,spectral_abs_curl_circulation,spectral_signed_curl_circulation_ratio,spectral_signed_curl_alignment,spectral_signed_vorticity_mean,spectral_abs_vorticity_mean,spectral_signed_vorticity_ratio,spectral_vorticity_rms,hodge_total,hodge_grad_ratio,hodge_curl_ratio,hodge_harmonic_ratio,hodge_grad,hodge_curl,hodge_harmonic,hodge_reconstruction_error,hodge_signed_curl_circulation,hodge_abs_curl_circulation,hodge_signed_curl_circulation_ratio,hodge_signed_curl_alignment,graph_total_power,graph_low_freq_power,graph_high_freq_power,graph_low_freq_ratio,graph_high_freq_ratio,graph_first_nonzero_eigenvalue,graph_eigs_used
real,0,13,1024,768,0.13196052707297048,0.06863496425399988,0.08869604687987592,3.6980982447522477,0.010983945091066913,0.02398423216736852,0.005778954783175855,0.5193826494897261,0.4806171378148132,2.126954606187704e-07,0.0030014888465672014,0.002777464707451204,1.2291574495026348e-09,-4.3560847977167665,75.84084358756616,-0.03363699829157039,-0.05743718808569439,-0.11157993777305962,0.9457304470206646,-0.11798281225329056,1.2329906962924684,2.3668959976638413,0.535440923220486,0.4636906160176374,0.0008684607626438449,1.2673329781560003,1.097507463206427,0.0020555563032298037,0.0,-0.09982522658151916,43.337041062509726,-0.001690544119004141,-0.002303461983884188,0.07958431833781754,0.0013695953481499931,0.00925453591448987,0.01720936205467475,0.11628592300315303,0.0002981127149765431,32.0
real,1,13,1024,768,0.13196052707297048,0.06863496425399988,-0.10333664443354665,15.455719569800372,-0.005556644479089501,-0.006685980809037244,0.004962189436428252,0.5341545847951229,0.46579918663934533,4.622856553205077e-05,0.0026505762380900776,0.002311383803438631,2.293948995443735e-07,-8.18997533860568,82.95190452208521,-0.06797482911020278,-0.09873161304482372,-0.14237335717255042,0.7996817225666883,-0.17803752812504403,1.089232727163622,1.8259710401385463,0.5095103746541118,0.49046905134710367,2.0573996918828014e-05,0.9303511887685489,0.8955822838440369,3.7567522553679636e-05,0.0,-0.03981961302437331,37.03689390187315,-0.0007476480259232161,-0.0010751337066729407,0.07269059893519178,0.0013451209256214597,0.017971592675649913,0.018504744015394883,0.24723407069011377,0.0001489563027028837,32.0
real,2,13,1024,768,0.13196052707297048,0.06863496425399988,-0.09216669689145622,15.679007300857752,-0.004911278346321718,-0.005878350275812044,0.005653664062151479,0.4296416560918914,0.5703223234259786,3.602048212993231e-05,0.0024290495906499716,0.003224410823796188,2.0364770531936786e-07,-0.41118743163446303,108.57868402275338,-0.002659791946764069,-0.0037869995877671163,-0.06158931885330904,1.0949604973464913,-0.056247982463809014,1.4688526917961902,2.1765903198280068,0.4968488146223215,0.5031151359609309,3.604941892774278e-05,1.0814363203249648,1.0950755346915138,7.846481627354947e-05,0.0,0.05119118630269376,39.92791239043616,0.0009285733537109356,0.0012820902280619975,0.0695077222216724,0.0011641516097184352,0.022480852550709005,0.016748521926898283,0.32342956771067244,0.0001665684188604501,32.0
real,3,13,1024,768,0.13196052707297048,0.06863496425399988,-0.15767755274576198,14.799699283276066,-0.008786356037752022,-0.01065410517657886,0.006548322055887815,0.49117741072844673,0.5088030973563136,1.9491915239628497e-05,0.003216387872026956,0.0033318065445223834,1.276393384751551e-07,-1.0735351020446813,94.84800590266104,-0.007639322736015318,-0.011318478357324772,-0.06827392584438884,0.9080864838560934,-0.07518438723421014,1.2351878233648808,2.3187141388786134,0.4853717620248985,0.5117282191397265,0.0029000188422579455,1.1254383672195578,1.1865514569824573,0.0067243146925578855,0.0,-0.05056158778182329,41.35747237450944,-0.0008601825151683586,-0.0012225502401105822,0.1145738401177962,0.0016469121142058986,0.028703695780249748,0.014374242082770966,0.2505257373824493,0.0001640283794643592,32.0
real,4,13,1024,768,0.13196052707297048,0.06863496425399988,-0.207127915118886,13.351917200476413,-0.01229774999265861,-0.015512971808385349,0.005787473285207919,0.49394265251894837,0.5060377330279354,1.9614453116343744e-05,0.002858679905878152,0.0029286798612063536,1.1351812341480264e-07,-6.642449255133672,93.54267386947231,-0.04910143251797527,-0.07100982878041759,-0.030374035679673363,0.8449838729581268,-0.03594629039882108,1.1076609171488592,2.3330329543647026,0.4919754953368751,0.5036541812638431,0.004370323396747158,1.1477950433608277,1.1750418024921192,0.010196108505842206,0.0,0.11391475838820109,41.83139388122593,0.001958048052065908,0.0027231882043339327,0.09218627787196992,0.0012574127238784735,0.029205591010037533,0.013639912066140607,0.31681061090891227,0.0001517110030978626,32.0
real,5,13,1024,768,0.13196052707297048,0.06863496425399988,-0.2938786553974149,11.631832638811037,-0.019641874255014704,-0.02526503471317604,0.005961215454235643,0.4883767862747187,0.5116048431137109,1.8370611570503863e-05,0.0029113192458307905,0.003049786697231255,1.0951117359784774e-07,-12.136691671911873,90.74723928463271,-0.0903296215736674,-0.13374171784823785,0.02209123561025705,0.8151554786117834,0.027100640540229957,1.065984806621548,2.229962708742396,0.48806973849244273,0.5090656403757405,0.0028646211286515685,1.0883773161038004,1.1351973943399687,0.006387998291568551,0.0,0.11215540819332281,42.49557377967781,0.0019790938591207545,0.0026392256467650675,0.10261661270466838,0.002391509130817465,0.015089829561176122,0.023305282329872376,0.1470505521811054,0.00022304302385548676,32.0
real,6,13,1024,768,0.13196052707297048,0.06863496425399988,-0.2806587089473319,9.276175972683738,-0.021344843359103513,-0.030255862951911325,0.0048843542395602575,0.5017863915889358,0.49819268599163335,2.0922419431003652e-05,0.002450902489111062,0.0024333495579411464,1.021925080496806e-07,-13.091123917332219,71.82356440824803,-0.11781207012751513,-0.18226781175773654,-0.015719108583202905,0.7646606878651723,-0.020556972305047484,1.016207387761282,2.127643697091549,0.48406178439305786,0.5113803005207371,0.004557915086588273,1.0299110045667779,1.0880350732197284,0.00969761930585802,0.0,-0.02255404499385899,40.35444297298568,-0.00041626389975765954,-0.0005588986820845789,0.07994828039462731,0.0013453804226283646,0.018899978720221738,0.016828134588855733,0.2364025670962631,0.00012726371276884207,32.0
real,7,13,1024,768,0.13196052707297048,0.06863496425399988,-0.15050994307629628,7.473652429059722,-0.013452180117412008,-0.020138739994259042,0.004600276712100256,0.4955367044206362,0.5044434343148197,1.9861264544054833e-05,0.0022796059613371606,0.00232057938345034,9.136731275487795e-08,-8.438899803462329,67.18127711823627,-0.08100638332670956,-0.12561386394322654,-0.04570771540514166,0.7529429551429399,-0.0607054161180968,0.9843028663764569,1.9533575738613136,0.48924922261743065,0.5097579827589582,0.0009927946208042545,0.955678674505518,0.9957396164584759,0.0019392828918367616,0.0,0.06119449541333605,38.227383289859766,0.0011773360531220913,0.001600802622280677,0.10138590146876827,0.008682161532108526,0.015117469110778858,0.0856348013513797,0.14910819839616227,0.00026796132212482447,32.0
real,8,13,1024,768,0.13196052707297048,0.06863496425399988,0.09556718562471014,5.9625999063797845,0.010140897866329228,0.01602777095985535,0.004253960914967418,0.49705902610843367,0.5029226520468284,1.832184473795113e-05,0.0021144696694970462,0.0021394133050589665,7.794041140534557e-08,-1.6436571887172928,64.6527072567833,-0.015685147292061843,-0.025422867169183266,-0.024880108258746002,0.7689820890369635,-0.03235460046917954,1.0089308284029963,1.8603462650200289,0.48156893521449423,0.5127764383813685,0.005654626411685157,0.8958849699759566,0.953941731933052,0.01051956312506209,0.0,0.29530578595986245,37.16624098941658,0.0058104115702700306,0.007945538157704822,0.1390872102382218,0.017972839527905286,0.07123276636072463,0.12921992969103546,0.5121446194709105,0.0003008402484688295,32.0
real,9,13,1024,768,0.13196052707297048,0.06863496425399988,0.014509101807660112,5.43620887827127,0.0017006724692888613,0.0026689743040694287,0.0044610304825703235,0.5399052761675945,0.4600796683026198,1.5055529785777714e-05,0.002408533894684188,0.0020524294247088303,6.716317730559984e-08,-0.05696369139900259,51.07693885975442,-0.0006583358467656673,-0.0011152526496431558,-0.03891916621276061,0.6997761564789453,-0.05561659375276472,0.9183362447870328,2.2123069953154255,0.5142240569432387,0.4837513723870692,0.0020245706761576475,1.1376214783350047,1.0702065451253506,0.004478971869374044,0.0,0.0030495499932388093,39.16586462863272,5.567827018533266e-05,7.786244532463087e-05,0.24333222525969345,0.04507254153537355,0.013325899119180487,0.185230466237139,0.05476421836424904,0.0004151355275116833,32.0
